"","Year","Area","Street","Street.2"
"349",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"350",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"351",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"352",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"353",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"354",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"355",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfieldì Townì Centre"," Lower Parade  Sutton Coldfield town centre"
"356",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfieldì Townì Centre"," Lower Parade  Sutton Coldfield town Centre"
"357",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield "," Lower Parade  Sutton Coldfield "
"358",2011,"Birmingham","Lydhamì Close","lydham close"
"359",2011,"Birmingham","Millì Str.","Mill Street"
"360",2011,"Birmingham"," Millì Str."," Mill Street  Sutton Coldfield"
"361",2011,"Birmingham","Moorì Hallì Hotel","moor hall hotel"
